episode,accuracy,loss,n_way,k_shot,q_query,support_indices,query_indices,support_query_overlap
33,0.699999988079071,2.9887566566467285,2,5,5,"[173, 135, 198, 170, 119, 214, 236, 205, 7, 62]","[155, 122, 152, 107, 116, 59, 30, 8, 11, 31]",[]
34,0.800000011920929,0.32112225890159607,2,5,5,"[226, 94, 28, 45, 42, 104, 191, 133, 110, 152]","[6, 36, 21, 85, 87, 166, 189, 137, 109, 174]",[]
35,0.6000000238418579,2.18758225440979,2,5,5,"[226, 83, 205, 231, 93, 185, 113, 151, 203, 195]","[28, 31, 35, 27, 230, 167, 106, 107, 147, 155]",[]
36,0.699999988079071,6.354744911193848,2,5,5,"[20, 80, 55, 42, 97, 145, 147, 167, 173, 166]","[36, 94, 234, 26, 70, 151, 186, 120, 103, 201]",[]
37,0.699999988079071,1.5395506620407104,2,5,5,"[1, 233, 208, 27, 207, 106, 166, 157, 104, 139]","[231, 44, 62, 71, 81, 175, 189, 185, 172, 177]",[]
38,0.5,5.098891258239746,2,5,5,"[231, 73, 59, 34, 7, 174, 102, 155, 148, 164]","[66, 18, 240, 50, 98, 194, 153, 202, 127, 113]",[]
39,0.6000000238418579,6.725672721862793,2,5,5,"[116, 186, 139, 201, 195, 28, 16, 20, 8, 85]","[143, 184, 166, 157, 176, 81, 35, 234, 55, 208]",[]
40,0.699999988079071,4.498227119445801,2,5,5,"[180, 141, 177, 159, 131, 85, 93, 9, 63, 52]","[200, 109, 198, 169, 173, 71, 98, 56, 226, 73]",[]
41,0.4000000059604645,6.16441535949707,2,5,5,"[230, 20, 27, 239, 28, 199, 124, 170, 186, 189]","[22, 35, 52, 80, 208, 141, 105, 162, 147, 180]",[]
42,0.6000000238418579,5.88669490814209,2,5,5,"[156, 147, 104, 200, 120, 0, 74, 23, 81, 82]","[107, 167, 169, 170, 195, 55, 70, 205, 87, 207]",[]
43,0.5,6.520829200744629,2,5,5,"[161, 132, 116, 185, 194, 35, 31, 81, 82, 69]","[102, 145, 115, 188, 155, 1, 212, 89, 235, 237]",[]
44,0.800000011920929,8.084661483764648,2,5,5,"[127, 159, 116, 161, 186, 86, 1, 26, 65, 80]","[153, 119, 185, 103, 201, 20, 64, 57, 19, 235]",[]
45,0.800000011920929,2.161069393157959,2,5,5,"[162, 192, 173, 164, 194, 56, 19, 49, 236, 35]","[172, 161, 106, 152, 159, 9, 44, 74, 28, 27]",[]
46,0.4000000059604645,3.799302339553833,2,5,5,"[145, 156, 169, 194, 143, 70, 44, 97, 45, 18]","[148, 151, 170, 132, 141, 31, 6, 86, 205, 220]",[]
47,0.6000000238418579,5.824803829193115,2,5,5,"[132, 155, 103, 152, 148, 23, 11, 231, 19, 70]","[188, 138, 124, 128, 133, 235, 234, 22, 225, 36]",[]
48,0.8999999761581421,0.16059842705726624,2,5,5,"[94, 204, 235, 63, 239, 131, 159, 148, 141, 133]","[65, 20, 52, 73, 208, 161, 120, 186, 101, 155]",[]
49,0.4000000059604645,7.439807891845703,2,5,5,"[139, 142, 120, 132, 202, 74, 86, 66, 0, 16]","[166, 194, 156, 113, 102, 70, 89, 46, 56, 207]",[]
50,0.5,12.300572395324707,2,5,5,"[142, 173, 188, 189, 161, 233, 1, 19, 10, 65]","[132, 103, 203, 164, 135, 98, 20, 85, 45, 213]",[]
51,0.5,5.955630302429199,2,5,5,"[57, 231, 228, 20, 31, 115, 166, 116, 191, 104]","[19, 98, 235, 30, 70, 175, 169, 131, 120, 200]",[]
52,0.4000000059604645,4.234366416931152,2,5,5,"[83, 35, 214, 98, 21, 201, 155, 185, 200, 176]","[27, 228, 1, 235, 215, 189, 135, 170, 101, 166]",[]
53,0.4000000059604645,8.879110336303711,2,5,5,"[65, 27, 236, 36, 6, 104, 170, 122, 102, 109]","[52, 8, 10, 35, 85, 166, 105, 173, 115, 101]",[]
54,0.5,2.6036038398742676,2,5,5,"[112, 167, 109, 202, 124, 93, 226, 1, 208, 205]","[166, 151, 127, 135, 152, 0, 50, 36, 225, 234]",[]
55,0.10000000149011612,16.72340965270996,2,5,5,"[184, 156, 103, 170, 145, 214, 230, 235, 240, 215]","[159, 162, 151, 131, 142, 65, 204, 205, 63, 22]",[]
56,0.699999988079071,1.4809303283691406,2,5,5,"[207, 98, 18, 73, 52, 185, 128, 133, 116, 101]","[230, 231, 34, 21, 86, 119, 176, 166, 102, 174]",[]
57,0.800000011920929,2.845468282699585,2,5,5,"[156, 164, 189, 199, 161, 16, 31, 80, 1, 94]","[110, 201, 185, 119, 133, 204, 65, 74, 85, 66]",[]
58,0.699999988079071,4.7539143562316895,2,5,5,"[139, 155, 177, 201, 138, 234, 45, 81, 92, 49]","[153, 164, 120, 127, 124, 31, 97, 70, 71, 237]",[]
59,0.699999988079071,5.056264400482178,2,5,5,"[166, 186, 139, 198, 173, 11, 21, 207, 231, 220]","[116, 167, 110, 127, 124, 215, 98, 8, 214, 56]",[]
60,0.30000001192092896,2.1812567710876465,2,5,5,"[201, 132, 127, 120, 101, 26, 52, 207, 240, 214]","[145, 124, 199, 180, 151, 18, 73, 82, 81, 74]",[]
61,0.6000000238418579,4.0370025634765625,2,5,5,"[167, 184, 176, 116, 119, 42, 234, 214, 8, 46]","[199, 132, 105, 104, 189, 22, 18, 28, 64, 35]",[]
62,0.5,8.262747764587402,2,5,5,"[148, 169, 157, 143, 184, 231, 236, 8, 230, 49]","[109, 191, 167, 151, 162, 42, 93, 228, 212, 73]",[]
63,0.6000000238418579,2.5116348266601562,2,5,5,"[174, 135, 137, 170, 105, 59, 204, 240, 63, 45]","[173, 141, 110, 155, 159, 35, 19, 87, 42, 82]",[]
64,0.800000011920929,1.4065146446228027,2,5,5,"[57, 19, 92, 214, 208, 145, 113, 119, 192, 139]","[59, 0, 80, 93, 69, 115, 157, 191, 169, 177]",[]
65,0.5,7.899125099182129,2,5,5,"[207, 233, 74, 97, 21, 150, 172, 200, 201, 203]","[34, 23, 215, 87, 236, 135, 180, 162, 124, 147]",[]
66,0.30000001192092896,6.889616966247559,2,5,5,"[230, 81, 228, 208, 46, 112, 189, 192, 150, 164]","[21, 207, 16, 34, 19, 110, 169, 186, 194, 147]",[]
67,0.800000011920929,0.9118055105209351,2,5,5,"[142, 170, 153, 174, 159, 97, 220, 45, 207, 98]","[106, 161, 189, 107, 177, 83, 23, 63, 10, 65]",[]
68,0.8999999761581421,1.500016450881958,2,5,5,"[137, 171, 189, 191, 162, 20, 235, 34, 69, 26]","[139, 192, 198, 104, 203, 87, 70, 64, 82, 89]",[]
69,0.6000000238418579,3.26654052734375,2,5,5,"[192, 161, 177, 157, 104, 71, 70, 65, 87, 55]","[101, 106, 132, 198, 186, 10, 29, 204, 63, 19]",[]
70,0.8999999761581421,1.0107226371765137,2,5,5,"[26, 233, 8, 228, 31, 139, 167, 152, 150, 120]","[22, 6, 82, 19, 44, 176, 109, 103, 141, 185]",[]
71,0.5,2.836728572845459,2,5,5,"[176, 156, 104, 161, 177, 42, 36, 50, 80, 94]","[107, 189, 122, 201, 184, 45, 34, 52, 29, 63]",[]
72,0.5,7.0164337158203125,2,5,5,"[192, 199, 169, 102, 172, 18, 23, 44, 7, 98]","[137, 189, 185, 166, 105, 234, 71, 239, 204, 236]",[]
73,0.4000000059604645,7.411508083343506,2,5,5,"[133, 145, 106, 180, 169, 73, 220, 87, 30, 237]","[132, 124, 159, 128, 156, 228, 93, 92, 69, 235]",[]
74,0.5,2.2896780967712402,2,5,5,"[137, 156, 171, 176, 133, 230, 49, 70, 233, 89]","[148, 124, 139, 103, 155, 44, 7, 80, 46, 35]",[]
75,0.5,7.225626468658447,2,5,5,"[135, 128, 186, 175, 113, 28, 62, 81, 83, 205]","[169, 148, 103, 185, 171, 226, 22, 31, 230, 82]",[]
76,0.5,3.0076849460601807,2,5,5,"[42, 220, 236, 23, 215, 170, 107, 159, 138, 192]","[36, 0, 49, 73, 204, 151, 145, 127, 152, 172]",[]
77,0.6000000238418579,2.776733160018921,2,5,5,"[231, 224, 214, 208, 50, 152, 180, 115, 198, 186]","[83, 71, 7, 225, 205, 107, 138, 191, 153, 132]",[]
78,0.699999988079071,5.263958930969238,2,5,5,"[203, 176, 188, 142, 162, 224, 237, 74, 92, 23]","[138, 153, 173, 175, 194, 11, 215, 45, 59, 235]",[]
79,0.699999988079071,5.011503219604492,2,5,5,"[110, 169, 109, 180, 101, 220, 204, 46, 8, 235]","[122, 174, 201, 184, 131, 0, 55, 226, 64, 1]",[]
80,0.20000000298023224,6.792172908782959,2,5,5,"[177, 107, 105, 127, 148, 237, 70, 213, 98, 93]","[133, 195, 184, 185, 176, 235, 52, 212, 83, 92]",[]
81,0.800000011920929,3.821486234664917,2,5,5,"[6, 92, 235, 8, 224, 101, 180, 124, 145, 169]","[220, 59, 225, 214, 65, 157, 115, 128, 120, 184]",[]
82,0.6000000238418579,1.7243140935897827,2,5,5,"[50, 215, 0, 63, 239, 101, 201, 161, 171, 131]","[18, 236, 66, 80, 52, 188, 189, 102, 175, 202]",[]
83,0.5,3.011869192123413,2,5,5,"[104, 162, 128, 102, 195, 205, 230, 233, 18, 226]","[124, 200, 186, 115, 153, 225, 19, 85, 236, 49]",[]
84,0.6000000238418579,4.194263458251953,2,5,5,"[230, 92, 23, 11, 19, 188, 192, 143, 127, 128]","[65, 27, 74, 208, 224, 157, 166, 119, 112, 155]",[]
85,0.8999999761581421,0.23259618878364563,2,5,5,"[200, 165, 166, 137, 171, 239, 20, 71, 19, 97]","[161, 109, 192, 155, 188, 10, 63, 66, 18, 45]",[]
86,0.699999988079071,1.1179505586624146,2,5,5,"[56, 226, 22, 34, 235, 113, 153, 147, 184, 164]","[69, 81, 214, 26, 83, 198, 124, 157, 189, 109]",[]
87,0.6000000238418579,4.95550537109375,2,5,5,"[57, 237, 69, 31, 49, 152, 186, 192, 175, 102]","[228, 80, 204, 46, 208, 174, 185, 122, 106, 124]",[]
88,0.5,7.22628927230835,2,5,5,"[11, 27, 212, 51, 81, 173, 203, 139, 192, 131]","[63, 239, 92, 80, 19, 115, 145, 185, 174, 122]",[]
89,0.6000000238418579,3.800060749053955,2,5,5,"[131, 185, 116, 159, 189, 21, 70, 226, 86, 62]","[122, 157, 142, 124, 199, 230, 93, 65, 36, 35]",[]
90,0.6000000238418579,5.230036735534668,2,5,5,"[122, 138, 195, 116, 162, 46, 66, 231, 89, 70]","[155, 106, 200, 166, 107, 7, 29, 31, 36, 236]",[]
91,0.6000000238418579,3.730701446533203,2,5,5,"[171, 131, 185, 161, 142, 207, 235, 85, 86, 87]","[113, 141, 153, 165, 166, 233, 230, 29, 31, 73]",[]
92,0.699999988079071,3.6190249919891357,2,5,5,"[18, 52, 92, 16, 70, 170, 139, 151, 137, 180]","[10, 81, 62, 56, 73, 203, 174, 155, 104, 169]",[]
93,0.5,6.637889862060547,2,5,5,"[89, 97, 21, 28, 16, 102, 186, 189, 137, 145]","[66, 85, 55, 0, 233, 116, 153, 101, 164, 166]",[]
94,0.5,2.7655036449432373,2,5,5,"[173, 195, 102, 186, 165, 66, 0, 56, 234, 89]","[201, 103, 161, 101, 202, 69, 225, 55, 74, 19]",[]
95,0.5,5.110890865325928,2,5,5,"[127, 171, 176, 147, 192, 69, 73, 57, 59, 44]","[112, 200, 120, 145, 102, 63, 31, 27, 234, 19]",[]
96,0.5,4.211680889129639,2,5,5,"[164, 170, 151, 176, 109, 46, 27, 11, 0, 35]","[132, 153, 102, 161, 172, 225, 239, 94, 230, 1]",[]
97,0.800000011920929,5.262781620025635,2,5,5,"[164, 173, 194, 199, 195, 20, 220, 30, 36, 63]","[172, 103, 128, 116, 137, 64, 66, 57, 16, 228]",[]
98,0.4000000059604645,3.4164955615997314,2,5,5,"[159, 192, 115, 156, 175, 80, 224, 226, 237, 81]","[180, 185, 116, 169, 155, 64, 36, 71, 6, 42]",[]
99,0.5,3.901848316192627,2,5,5,"[81, 213, 27, 73, 82, 102, 172, 135, 200, 173]","[19, 29, 234, 215, 35, 119, 105, 180, 159, 147]",[]
