episode,accuracy,loss,n_way,k_shot,q_query,support_indices,query_indices,support_query_overlap
59,0.699999988079071,4.973381042480469,2,5,5,"[166, 186, 139, 198, 173, 11, 21, 207, 231, 220]","[116, 167, 110, 127, 124, 215, 98, 8, 214, 56]",[]
60,0.699999988079071,2.946991443634033,2,5,5,"[201, 132, 127, 120, 101, 26, 52, 207, 240, 214]","[145, 124, 199, 180, 151, 18, 73, 82, 81, 74]",[]
61,0.699999988079071,3.1483306884765625,2,5,5,"[167, 184, 176, 116, 119, 42, 234, 214, 8, 46]","[199, 132, 105, 104, 189, 22, 18, 28, 64, 35]",[]
62,0.6000000238418579,1.6894582509994507,2,5,5,"[148, 169, 157, 143, 184, 231, 236, 8, 230, 49]","[109, 191, 167, 151, 162, 42, 93, 228, 212, 73]",[]
63,0.8999999761581421,1.4463139772415161,2,5,5,"[174, 135, 137, 170, 105, 59, 204, 240, 63, 45]","[173, 141, 110, 155, 159, 35, 19, 87, 42, 82]",[]
64,0.6000000238418579,6.532042026519775,2,5,5,"[57, 19, 92, 214, 208, 145, 113, 119, 192, 139]","[59, 0, 80, 93, 69, 115, 157, 191, 169, 177]",[]
65,0.699999988079071,6.619874000549316,2,5,5,"[207, 233, 74, 97, 21, 150, 172, 200, 201, 203]","[34, 23, 215, 87, 236, 135, 180, 162, 124, 147]",[]
66,1.0,0.020132621750235558,2,5,5,"[230, 81, 228, 208, 46, 112, 189, 192, 150, 164]","[21, 207, 16, 34, 19, 110, 169, 186, 194, 147]",[]
67,0.800000011920929,2.6773557662963867,2,5,5,"[142, 170, 153, 174, 159, 97, 220, 45, 207, 98]","[106, 161, 189, 107, 177, 83, 23, 63, 10, 65]",[]
68,0.800000011920929,1.4710440635681152,2,5,5,"[137, 171, 189, 191, 162, 20, 235, 34, 69, 26]","[139, 192, 198, 104, 203, 87, 70, 64, 82, 89]",[]
69,0.699999988079071,3.848536729812622,2,5,5,"[192, 161, 177, 157, 104, 71, 70, 65, 87, 55]","[101, 106, 132, 198, 186, 10, 29, 204, 63, 19]",[]
70,0.800000011920929,0.8360045552253723,2,5,5,"[26, 233, 8, 228, 31, 139, 167, 152, 150, 120]","[22, 6, 82, 19, 44, 176, 109, 103, 141, 185]",[]
71,0.800000011920929,1.094956636428833,2,5,5,"[176, 156, 104, 161, 177, 42, 36, 50, 80, 94]","[107, 189, 122, 201, 184, 45, 34, 52, 29, 63]",[]
72,0.4000000059604645,10.268819808959961,2,5,5,"[192, 199, 169, 102, 172, 18, 23, 44, 7, 98]","[137, 189, 185, 166, 105, 234, 71, 239, 204, 236]",[]
73,0.6000000238418579,4.519728660583496,2,5,5,"[133, 145, 106, 180, 169, 73, 220, 87, 30, 237]","[132, 124, 159, 128, 156, 228, 93, 92, 69, 235]",[]
74,0.6000000238418579,2.956733226776123,2,5,5,"[137, 156, 171, 176, 133, 230, 49, 70, 233, 89]","[148, 124, 139, 103, 155, 44, 7, 80, 46, 35]",[]
75,0.699999988079071,2.915762424468994,2,5,5,"[135, 128, 186, 175, 113, 28, 62, 81, 83, 205]","[169, 148, 103, 185, 171, 226, 22, 31, 230, 82]",[]
76,0.800000011920929,1.7792646884918213,2,5,5,"[42, 220, 236, 23, 215, 170, 107, 159, 138, 192]","[36, 0, 49, 73, 204, 151, 145, 127, 152, 172]",[]
77,0.699999988079071,2.5163416862487793,2,5,5,"[231, 224, 214, 208, 50, 152, 180, 115, 198, 186]","[83, 71, 7, 225, 205, 107, 138, 191, 153, 132]",[]
78,0.8999999761581421,1.717475175857544,2,5,5,"[203, 176, 188, 142, 162, 224, 237, 74, 92, 23]","[138, 153, 173, 175, 194, 11, 215, 45, 59, 235]",[]
79,0.800000011920929,2.61989164352417,2,5,5,"[110, 169, 109, 180, 101, 220, 204, 46, 8, 235]","[122, 174, 201, 184, 131, 0, 55, 226, 64, 1]",[]
80,0.0,0.9876145124435425,2,5,5,"[177, 107, 105, 127, 148, 237, 70, 213, 98, 93]","[133, 195, 184, 185, 176, 235, 52, 212, 83, 92]",[]
81,0.6000000238418579,3.4218716621398926,2,5,5,"[6, 92, 235, 8, 224, 101, 180, 124, 145, 169]","[220, 59, 225, 214, 65, 157, 115, 128, 120, 184]",[]
82,0.800000011920929,1.6922409534454346,2,5,5,"[50, 215, 0, 63, 239, 101, 201, 161, 171, 131]","[18, 236, 66, 80, 52, 188, 189, 102, 175, 202]",[]
83,0.6000000238418579,2.6572206020355225,2,5,5,"[104, 162, 128, 102, 195, 205, 230, 233, 18, 226]","[124, 200, 186, 115, 153, 225, 19, 85, 236, 49]",[]
84,0.699999988079071,5.043723106384277,2,5,5,"[230, 92, 23, 11, 19, 188, 192, 143, 127, 128]","[65, 27, 74, 208, 224, 157, 166, 119, 112, 155]",[]
85,0.8999999761581421,0.7327460050582886,2,5,5,"[200, 165, 166, 137, 171, 239, 20, 71, 19, 97]","[161, 109, 192, 155, 188, 10, 63, 66, 18, 45]",[]
86,0.800000011920929,2.4511361122131348,2,5,5,"[56, 226, 22, 34, 235, 113, 153, 147, 184, 164]","[69, 81, 214, 26, 83, 198, 124, 157, 189, 109]",[]
87,0.699999988079071,5.040513038635254,2,5,5,"[57, 237, 69, 31, 49, 152, 186, 192, 175, 102]","[228, 80, 204, 46, 208, 174, 185, 122, 106, 124]",[]
88,0.699999988079071,6.766390323638916,2,5,5,"[11, 27, 212, 51, 81, 173, 203, 139, 192, 131]","[63, 239, 92, 80, 19, 115, 145, 185, 174, 122]",[]
89,0.699999988079071,3.874478816986084,2,5,5,"[131, 185, 116, 159, 189, 21, 70, 226, 86, 62]","[122, 157, 142, 124, 199, 230, 93, 65, 36, 35]",[]
90,0.6000000238418579,2.9848289489746094,2,5,5,"[122, 138, 195, 116, 162, 46, 66, 231, 89, 70]","[155, 106, 200, 166, 107, 7, 29, 31, 36, 236]",[]
91,0.699999988079071,2.5766353607177734,2,5,5,"[171, 131, 185, 161, 142, 207, 235, 85, 86, 87]","[113, 141, 153, 165, 166, 233, 230, 29, 31, 73]",[]
92,0.800000011920929,2.8985495567321777,2,5,5,"[18, 52, 92, 16, 70, 170, 139, 151, 137, 180]","[10, 81, 62, 56, 73, 203, 174, 155, 104, 169]",[]
93,0.6000000238418579,4.347838401794434,2,5,5,"[89, 97, 21, 28, 16, 102, 186, 189, 137, 145]","[66, 85, 55, 0, 233, 116, 153, 101, 164, 166]",[]
94,0.800000011920929,2.4345803260803223,2,5,5,"[173, 195, 102, 186, 165, 66, 0, 56, 234, 89]","[201, 103, 161, 101, 202, 69, 225, 55, 74, 19]",[]
95,0.5,5.314316749572754,2,5,5,"[127, 171, 176, 147, 192, 69, 73, 57, 59, 44]","[112, 200, 120, 145, 102, 63, 31, 27, 234, 19]",[]
96,0.699999988079071,2.9248244762420654,2,5,5,"[164, 170, 151, 176, 109, 46, 27, 11, 0, 35]","[132, 153, 102, 161, 172, 225, 239, 94, 230, 1]",[]
97,0.5,8.645153999328613,2,5,5,"[164, 173, 194, 199, 195, 20, 220, 30, 36, 63]","[172, 103, 128, 116, 137, 64, 66, 57, 16, 228]",[]
98,0.800000011920929,2.2420456409454346,2,5,5,"[159, 192, 115, 156, 175, 80, 224, 226, 237, 81]","[180, 185, 116, 169, 155, 64, 36, 71, 6, 42]",[]
99,0.5,5.152121543884277,2,5,5,"[81, 213, 27, 73, 82, 102, 172, 135, 200, 173]","[19, 29, 234, 215, 35, 119, 105, 180, 159, 147]",[]
